Nombre,Apellido,RUT,Dirección,Comuna,N° Cuenta Corriente,Banco,Monto de Garantía,Fecha de Pago de Garantía,N° Jornada de Remate,Fecha del Remate,Modelo de Automóvil,Categoría de Automóvil,Proveedor del Auto,Pago del Restante,Fecha de Pago del Restante,Devolución de Garantía,Fecha de Devolución,Cantidad de Click en Inicio,"Cantidad de Click en ""Quiénes Somos""",Cantidad de Click en Contacto,Cantidad de Click en Remates Activos,Cantidad de Click en Abonar Garantía,Cantidad de Click en Agregar al Carro,Cantidad de Click a Salón de Remate
América,Mesa,15875367-7,"Vial de Calisto Izaguirre 391
Alicante, 15102",Santiago,ES6564495611577474838823,Banco Estado,1140723.46,2024-05-07,40,2024-05-29,Toyota Corolla,Hatchback,BCI,15149959.14,2024-08-21,0.0,,14,29,7,91,37,36,41
Paloma,Barranco,13345678-3,"Callejón de Flora Toledo 79
Ciudad, 16738",Providencia,ES6344172446126717287190,Scotiabank,1678475.92,2024-05-18,47,2024-09-17,Ford Fiesta,Sedán,Scotiabank,12437782.96,2024-12-20,0.0,,9,42,20,107,13,41,41
Belen,Palomo,20804516-4,"Paseo de Adriana Guillen 384
Toledo, 49415",Ñuñoa,ES3547778158303810849871,Scotiabank,844642.21,2024-01-20,41,2024-09-15,Nissan Sentra,Coupé,Scotiabank,9975854.35,2024-10-13,0.0,,43,25,8,164,37,28,8
Ainara,Echeverría,11266836-5,"Alameda María Luisa León 50 Piso 6 
Las Palmas, 47245",Ñuñoa,ES5791495041380333546060,Santander,1586692.7,2024-05-02,16,2024-12-05,Nissan Sentra,SUV,BCI,0.0,,1586692.7,2024-12-24,66,44,41,91,44,48,14
Fátima,Chaparro,15808350-7,"Acceso de Pepita Aller 9
Málaga, 07945",Vitacura,ES3132193286632954497811,Banco Estado,769834.28,2024-05-16,33,2024-09-29,Honda Civic,Sedán,Scotiabank,9534041.19,2024-10-14,0.0,,92,23,50,35,0,93,13
Feliciano,Roig,18165004-4,"Pasaje de Camilo Nogués 56
Santa Cruz de Tenerife, 17818",Ñuñoa,ES6560180871709795124628,BCI,1409300.49,2024-04-21,2,2024-09-28,Honda Civic,SUV,Santander,0.0,,1409300.49,2024-10-04,95,25,1,57,14,81,72
Nélida,Estevez,21199219-0,"Alameda Alexandra Sarabia 28 Apt. 21 
Alicante, 47235",Santiago,ES1461118439555533449859,Scotiabank,1184827.41,2024-01-20,4,2024-08-03,Toyota Corolla,SUV,Banco de Chile,17322900.57,2024-11-03,0.0,,21,29,26,191,18,73,49
Violeta,Villalba,19921823-9,"Paseo de María José Mariscal 26 Apt. 58 
La Coruña, 33085",Santiago,ES6711448948850332305147,Scotiabank,1291825.7,2024-05-10,19,2024-12-13,Ford Fiesta,Coupé,Santander,0.0,,1291825.7,2024-12-30,83,46,34,168,21,23,9
Jose Miguel,Esteban,14569682-8,"Camino Josep Frías 4
Las Palmas, 47324",Las Condes,ES8820783928623878387532,Banco de Chile,1687015.73,2024-03-04,50,2024-10-08,Nissan Sentra,Sedán,Santander,10668478.47,2024-10-31,0.0,,97,19,46,89,10,6,37
Susana,Belda,16410369-2,"Acceso de Inés Iñiguez 1 Apt. 31 
Cuenca, 40209",Las Condes,ES2697553165293730283909,BCI,952856.53,2024-03-15,27,2024-09-26,Toyota Corolla,Hatchback,Banco Estado,12008087.75,2024-10-24,0.0,,19,50,38,75,19,42,55
Gabriel,Martin,22736354-1,"Paseo Haydée Giménez 60 Puerta 8 
Cádiz, 28223",Ñuñoa,ES5035411499195007070484,Banco Estado,1965324.52,2024-02-21,33,2024-06-25,Nissan Sentra,Hatchback,Scotiabank,7444344.08,2024-08-04,0.0,,59,46,6,75,0,41,94
Noemí,Barba,7757654-1,"Glorieta José María Martín 91 Apt. 82 
Santa Cruz de Tenerife, 15483",Vitacura,ES6990610035258936323479,Scotiabank,661651.32,2024-01-14,14,2024-07-18,Honda Civic,Coupé,BCI,12913673.3,2024-07-27,0.0,,13,35,36,171,36,52,82
Gonzalo,Pujadas,7552227-4,"Paseo Montserrat Jiménez 1
Cáceres, 04605",Las Condes,ES0489757527601285293715,Santander,1817700.58,2024-01-02,4,2024-06-22,Ford Fiesta,Sedán,BCI,12638672.77,2024-09-05,0.0,,23,13,42,32,33,15,99
Elvira,Saldaña,15164341-8,"Camino de Isa Guijarro 60
Cáceres, 19015",Santiago,ES2201207398467483615067,BCI,1356296.88,2024-01-12,19,2024-08-02,Chevrolet Spark,Sedán,Banco de Chile,0.0,,1356296.88,2024-11-08,94,15,39,6,23,49,8
Maricela,Morillo,24770038-2,"Cuesta Porfirio Rey 1
Teruel, 43829",Vitacura,ES7528638928717743074122,BCI,593920.72,2024-03-08,18,2024-12-10,Nissan Sentra,Camioneta,BCI,9509542.7,2024-12-11,0.0,,88,6,23,186,4,100,65
Ale,Solís,21496346-9,"Camino Reynaldo Franco 2 Puerta 2 
Ciudad, 15455",Providencia,ES6991115178642176480033,Banco de Chile,1782333.42,2024-05-09,4,2024-05-21,Nissan Sentra,Sedán,Santander,14415898.13,2024-09-22,0.0,,98,37,9,168,48,42,54
Adora,Gallart,22995766-K,"Cuesta Guiomar Jiménez 2
Almería, 12582",Santiago,ES5783639111846213585686,Banco de Chile,1675591.69,2024-01-07,15,2024-02-01,Chevrolet Spark,SUV,BCI,0.0,,1675591.69,2024-12-17,10,27,38,54,43,70,45
Palmira,Esteban,13167240-3,"Pasaje Amelia Cabello 22
Sevilla, 51544",Vitacura,ES4134413149807539026395,BCI,1364396.21,2024-03-12,36,2024-07-23,Ford Fiesta,SUV,Santander,17891374.19,2024-11-22,0.0,,42,49,49,146,23,97,89
Adelina,Ríos,16495862-0,"Avenida de Gervasio Blázquez 60
Segovia, 51381",Ñuñoa,ES2953078478450908344559,Santander,504214.45,2024-01-27,46,2024-12-21,Toyota Corolla,Camioneta,Banco de Chile,9507450.57,2024-12-23,0.0,,96,13,30,13,49,84,45
Herminia,Adadia,5436519-5,"Acceso Adalberto Roura 47
Cádiz, 05722",Ñuñoa,ES7784283621747266017032,Banco Estado,1463945.09,2024-07-05,30,2024-09-28,Toyota Corolla,Hatchback,Scotiabank,0.0,,1463945.09,2024-10-21,52,27,20,72,34,95,99
Sandalio,Villegas,6531042-2,"Cañada Anna Múgica 70 Puerta 2 
Santa Cruz de Tenerife, 18657",Vitacura,ES8881498140774996620396,Santander,777575.43,2024-03-21,31,2024-07-11,Ford Fiesta,SUV,Banco de Chile,19887971.39,2024-07-20,0.0,,96,29,43,120,26,61,34
Roxana,Arribas,21525144-6,"Callejón Fortunato Font 84 Puerta 5 
Toledo, 27941",Providencia,ES0542850911537871199351,Santander,1776605.11,2024-02-23,31,2024-06-09,Nissan Sentra,Hatchback,Scotiabank,0.0,,1776605.11,2024-07-09,74,33,1,4,38,47,98
Zacarías,Peinado,18598066-9,"Cuesta Marisa Corbacho 831
Cádiz, 06252",Ñuñoa,ES3537949599719613119805,Santander,625278.4,2024-06-12,4,2024-08-15,Ford Fiesta,SUV,BCI,0.0,,625278.4,2024-08-26,5,45,34,71,5,84,10
Victoriano,Amo,12967540-3,"Alameda de Odalys Blanes 54 Piso 9 
Ourense, 51905",Ñuñoa,ES5078536541532788194391,BCI,1464932.72,2024-05-02,30,2024-05-24,Chevrolet Spark,Hatchback,BCI,10667568.33,2024-11-11,0.0,,75,37,14,168,13,37,80
Martin,Figueroa,17450189-0,"Pasaje de Guiomar Tena 7 Puerta 5 
Cádiz, 34662",Las Condes,ES9824421841695313019057,Scotiabank,1024764.94,2024-05-13,15,2024-07-27,Nissan Sentra,Coupé,Banco de Chile,0.0,,1024764.94,2024-11-16,93,43,23,78,26,38,6
Luciana,Camps,11360467-0,"Pasaje Fidel Sola 676 Piso 2 
Huesca, 28704",Santiago,ES2803030223193873399131,Scotiabank,567338.19,2024-03-07,34,2024-04-23,Nissan Sentra,Hatchback,Banco Estado,0.0,,567338.19,2024-10-14,86,15,22,86,24,74,66
Lorenza,Araujo,9566013-4,"Callejón Julio César Rocha 216 Piso 1 
Huesca, 31410",Santiago,ES1464249078031179577682,Santander,1884609.25,2024-03-29,42,2024-09-23,Ford Fiesta,Coupé,BCI,11686725.0,2024-12-04,0.0,,86,1,34,53,8,45,72
Eliana,Luque,1456352-0,"C. Sara Goñi 3
Ceuta, 28667",Santiago,ES5462052683554241092912,Santander,815905.9,2024-05-23,20,2024-09-26,Toyota Corolla,Camioneta,Banco Estado,9434373.96,2024-10-29,0.0,,34,44,16,75,4,15,90
Casemiro,Saldaña,16615740-4,"Alameda de Luisina Hernando 82
Huelva, 27169",Ñuñoa,ES1752814531313008486171,Santander,914121.93,2024-02-09,43,2024-07-18,Ford Fiesta,Coupé,Santander,16011466.91,2024-07-18,0.0,,64,9,45,30,30,46,79
Reinaldo,Solís,12930190-2,"Cañada Goyo Roldan 28
Navarra, 29661",Ñuñoa,ES1697483949162401718440,Scotiabank,1537576.5,2024-04-26,18,2024-11-17,Honda Civic,SUV,BCI,10078545.75,2024-12-23,0.0,,93,1,7,166,50,61,7
Prudencia,Crespo,10485346-3,"Plaza Asdrubal Cuéllar 13 Puerta 6 
Salamanca, 17922",Vitacura,ES5464004274992547091414,Banco de Chile,1283234.51,2024-05-09,1,2024-07-26,Honda Civic,Hatchback,Santander,0.0,,1283234.51,2024-08-04,25,47,25,67,18,93,58
Florina,Carballo,2172852-7,"Pasadizo de Coral Lucas 37 Puerta 1 
Melilla, 12097",Providencia,ES6789053465882324993135,Scotiabank,1713889.39,2024-07-02,42,2024-10-11,Chevrolet Spark,Camioneta,Scotiabank,10825849.19,2024-12-28,0.0,,41,21,2,92,26,17,47
Cosme,Gargallo,15799198-1,"Callejón de Severino Cornejo 65 Puerta 1 
Alicante, 08509",La Florida,ES8696780069843363085285,Santander,1238276.86,2024-03-16,19,2024-10-21,Honda Civic,Coupé,Scotiabank,8776230.06,2024-10-22,0.0,,53,26,38,98,13,49,59
Hernán,Alberdi,20768280-2,"Avenida de Victor Manuel Cano 77
Teruel, 22462",Vitacura,ES7797692838321918807806,BCI,1420522.48,2024-04-16,32,2024-10-06,Chevrolet Spark,Coupé,Scotiabank,11465092.55,2024-12-29,0.0,,41,36,29,99,5,39,36
Lola,Godoy,1810834-8,"Vial Sergio Nogués 90 Piso 3 
León, 46973",La Florida,ES2726423948377010127509,Banco Estado,1933733.19,2024-03-22,20,2024-08-07,Ford Fiesta,Camioneta,Santander,0.0,,1933733.19,2024-08-30,17,43,6,99,18,40,15
Ariel,Segovia,16696666-3,"Via Fernando Boix 51
Baleares, 10203",Ñuñoa,ES3049344943024128854956,BCI,1693965.12,2024-06-30,44,2024-08-06,Nissan Sentra,Coupé,Banco de Chile,13979340.35,2024-11-18,0.0,,80,16,13,132,20,34,79
Danilo,Abellán,14754583-5,"Urbanización de Chita Carrera 45
Salamanca, 39674",La Florida,ES2077375118162711376396,BCI,622991.77,2024-01-22,12,2024-04-27,Ford Fiesta,Hatchback,Banco Estado,0.0,,622991.77,2024-07-05,14,25,44,70,16,91,15
Fernanda,Cortés,5993658-1,"Acceso Silvia Cabanillas 62
Málaga, 46230",Providencia,ES2137460705782666015140,Banco de Chile,1577267.41,2024-06-02,25,2024-07-02,Honda Civic,Camioneta,Scotiabank,0.0,,1577267.41,2024-10-17,55,38,27,116,24,96,54
Dafne,Valls,22618493-7,"Vial Jose Miguel Pombo 58 Piso 4 
Valencia, 32553",Las Condes,ES0228585458865330160984,Scotiabank,1722404.57,2024-07-06,14,2024-09-30,Toyota Corolla,Camioneta,BCI,0.0,,1722404.57,2024-11-12,37,33,47,178,43,54,30
Herminia,Bustos,4925156-4,"Glorieta de Ismael Correa 560 Apt. 67 
Badajoz, 30898",Las Condes,ES7140491684510735785276,Scotiabank,1832835.64,2024-02-16,49,2024-09-14,Toyota Corolla,Coupé,Scotiabank,13805967.27,2024-12-23,0.0,,21,46,14,27,44,18,64
Francisco,Mora,3838228-4,"Calle de Jordán Reina 3 Puerta 6 
Ceuta, 34462",Santiago,ES8207596370747925327089,Banco de Chile,1318565.44,2024-03-05,40,2024-11-02,Nissan Sentra,SUV,Scotiabank,0.0,,1318565.44,2024-12-12,47,34,20,102,43,13,90
Josefina,Molins,6760080-0,"Cañada de Dorita Ugarte 532
Lugo, 39028",La Florida,ES3652516988015624529156,Banco de Chile,1211788.87,2024-06-08,6,2024-08-06,Nissan Sentra,Coupé,Banco Estado,0.0,,1211788.87,2024-09-27,26,26,24,189,17,48,96
Visitación,Almansa,8598105-6,"Glorieta de Fulgencio Llanos 150
La Rioja, 41241",Vitacura,ES8800397288025837321508,BCI,794572.62,2024-02-01,49,2024-07-22,Toyota Corolla,Hatchback,Banco de Chile,7132999.16,2024-09-16,0.0,,45,45,38,92,42,92,19
Juan Bautista,Rocamora,2308406-6,"Rambla Pastora Mulet 87 Puerta 3 
Lugo, 16464",La Florida,ES2036434514782172737026,Banco de Chile,1155671.68,2024-03-08,15,2024-10-08,Nissan Sentra,Hatchback,Banco Estado,13478700.64,2024-11-12,0.0,,5,7,42,21,49,95,95
Plinio,Vergara,1048991-1,"Urbanización Macario Villalba 1 Apt. 16 
Huelva, 08246",Vitacura,ES9640299542163447086723,Scotiabank,1053244.43,2024-05-24,11,2024-07-05,Nissan Sentra,Sedán,BCI,14117820.73,2024-12-03,0.0,,94,48,32,147,29,96,89
Herminia,Esteve,4676210-K,"Callejón Lara Calvo 61
Huesca, 07229",Vitacura,ES9630781213123525834832,Scotiabank,1643651.86,2024-01-22,31,2024-10-29,Honda Civic,Hatchback,Santander,17145427.59,2024-12-26,0.0,,58,39,31,166,43,78,16
Jesús,Botella,13669746-3,"Camino Paola Cabrera 76 Piso 9 
Soria, 35871",Providencia,ES0992595844894382236618,BCI,785607.47,2024-03-02,28,2024-03-27,Toyota Corolla,Hatchback,Banco de Chile,5647193.26,2024-08-06,0.0,,100,5,22,76,8,68,68
Ainara,Arnal,17128688-3,"C. de Corona Rovira 5
Castellón, 39594",Santiago,ES3579793182738328770816,Santander,1518046.38,2024-01-11,39,2024-01-18,Ford Fiesta,Hatchback,Scotiabank,19481279.3,2024-02-06,0.0,,92,4,37,186,38,18,51
Anselmo,Oliver,9973937-1,"Acceso Carmelita Mariscal 53 Apt. 32 
Córdoba, 46792",Vitacura,ES2973392194012792260381,Santander,1324234.89,2024-05-14,6,2024-10-17,Toyota Corolla,Sedán,Santander,11323291.66,2024-10-29,0.0,,81,45,21,159,15,77,23
Melchor,Ramírez,2148634-5,"Calle de Esmeralda Almazán 3
Álava, 39045",La Florida,ES0778048001623853198439,Banco Estado,1608985.43,2024-02-08,11,2024-03-06,Ford Fiesta,Sedán,Scotiabank,0.0,,1608985.43,2024-10-03,76,48,40,166,48,100,82
Pilar,Ramis,13178419-8,"Acceso de Natividad Alberdi 51 Piso 2 
Santa Cruz de Tenerife, 27448",Vitacura,ES4504872552242507166178,Santander,1324967.9,2024-03-09,33,2024-03-09,Chevrolet Spark,SUV,Banco Estado,0.0,,1324967.9,2024-09-28,35,2,2,192,14,92,83
Alex,Ribera,18059663-1,"Cuesta de Candelario Aguilar 41 Puerta 4 
Almería, 29836",Ñuñoa,ES0522525324318305815884,Banco Estado,892502.67,2024-01-11,46,2024-10-23,Ford Fiesta,Camioneta,Banco Estado,0.0,,892502.67,2024-12-18,71,21,14,181,34,48,73
Teófilo,Losa,1025621-6,"Pasaje de Olivia Nicolau 72 Apt. 49 
Madrid, 06168",Vitacura,ES8796500419117454354115,Scotiabank,511078.26,2024-04-09,37,2024-09-16,Ford Fiesta,Hatchback,Scotiabank,9324650.7,2024-09-24,0.0,,56,34,29,42,50,4,83
Hilda,Macias,19633532-3,"Callejón Toni Zabala 650 Puerta 6 
Zaragoza, 17783",Vitacura,ES0403551673064898539398,Banco Estado,1018732.83,2024-02-01,6,2024-09-28,Nissan Sentra,Sedán,Scotiabank,0.0,,1018732.83,2024-10-07,29,50,6,54,41,27,3
Darío,Capdevila,14245763-6,"Paseo de Abel Garrido 97
Tarragona, 43760",Vitacura,ES6590328208955021952211,BCI,853518.87,2024-05-10,31,2024-11-05,Toyota Corolla,Sedán,Scotiabank,0.0,,853518.87,2024-11-05,69,32,14,62,1,16,64
Apolonia,Manzano,19706657-1,"Acceso de Renato Villalba 87
Ourense, 20370",Santiago,ES6276062783089118030513,Banco Estado,723555.98,2024-06-06,29,2024-11-30,Chevrolet Spark,SUV,Banco de Chile,18090261.13,2024-12-25,0.0,,79,0,41,86,34,49,2
Aitana,Céspedes,10948934-4,"Rambla Ceferino Fábregas 7
Asturias, 39556",Vitacura,ES7761487367483908688973,BCI,1126169.24,2024-06-04,31,2024-09-28,Ford Fiesta,Sedán,Banco Estado,6249058.52,2024-12-17,0.0,,19,42,44,133,24,66,50
Pascuala,Escrivá,17835747-6,"Camino de Sarita Sobrino 80
Ourense, 33269",Ñuñoa,ES8134949584953267558365,Banco de Chile,1353857.85,2024-07-06,50,2024-12-17,Honda Civic,Camioneta,Scotiabank,14136816.94,2024-12-23,0.0,,97,13,4,137,14,45,31
Felix,Marí,11441407-7,"Via Luisa Ojeda 14
León, 48446",Santiago,ES3436846137603944948821,Banco Estado,1768217.64,2024-04-25,18,2024-05-18,Chevrolet Spark,Hatchback,Scotiabank,8266752.03,2024-06-22,0.0,,4,43,40,130,7,54,73
Pedro,Crespi,20611774-5,"Pasadizo de Ascensión Coloma 96
León, 20269",Las Condes,ES2184374605874714170312,Banco Estado,1321567.55,2024-03-13,11,2024-03-30,Toyota Corolla,SUV,Santander,19929791.51,2024-11-05,0.0,,97,41,22,167,4,72,17
Maxi,Vallés,7141129-K,"Avenida Evangelina Sebastián 75
Sevilla, 45012",Providencia,ES5827931867635426365468,BCI,709297.91,2024-05-25,11,2024-11-19,Honda Civic,Coupé,Scotiabank,0.0,,709297.91,2024-11-19,17,22,9,31,17,61,35
Fabiana,Falcó,22127574-8,"Vial de Soraya Garzón 579
Murcia, 47422",Providencia,ES7690372036757012020246,BCI,555177.74,2024-02-09,50,2024-07-02,Nissan Sentra,Coupé,Banco Estado,14978432.78,2024-07-18,0.0,,19,15,28,43,1,67,3
Toribio,Guerrero,4330140-3,"Calle Leyre Gámez 69 Piso 9 
Toledo, 19543",Las Condes,ES7740294301855228576425,BCI,1175753.63,2024-02-23,38,2024-10-20,Ford Fiesta,Sedán,Banco de Chile,0.0,,1175753.63,2024-12-07,47,36,34,30,44,78,1
Inocencio,Álvarez,9072437-1,"Via Matilde Heras 64 Puerta 9 
Soria, 05812",Vitacura,ES0309076942455730442892,Banco de Chile,1682352.16,2024-06-26,19,2024-10-07,Honda Civic,Sedán,Santander,19175037.73,2024-11-11,0.0,,26,48,23,174,38,96,52
Isaías,Roca,13132446-4,"Cañada Jordi Hervia 76 Apt. 16 
Huelva, 24811",Vitacura,ES1919494202855219972746,Scotiabank,1098667.04,2024-04-25,44,2024-10-06,Toyota Corolla,Camioneta,Santander,0.0,,1098667.04,2024-10-25,32,17,39,109,20,78,90
Pablo,Amor,1066211-7,"Rambla de Ester Peñalver 38
Lugo, 14719",Vitacura,ES5631693744938825970384,Banco Estado,1218601.31,2024-06-08,43,2024-11-22,Honda Civic,Sedán,Banco Estado,19159720.73,2024-12-10,0.0,,70,29,2,92,1,54,94
Octavia,Lorenzo,13698990-1,"Cuesta de Toño Salvà 76 Piso 3 
Tarragona, 20688",La Florida,ES6195337189931526392484,Banco de Chile,1227213.85,2024-01-21,13,2024-05-14,Ford Fiesta,Coupé,Banco de Chile,8263874.18,2024-08-18,0.0,,60,27,18,168,43,52,47
Arcelia,Galindo,15150098-6,"Urbanización de Nando Arregui 3 Piso 2 
Valencia, 12995",Las Condes,ES1319905255340598854323,Scotiabank,1008160.57,2024-06-26,38,2024-09-02,Chevrolet Spark,Sedán,Banco Estado,17592976.94,2024-11-14,0.0,,12,15,25,156,50,92,43
Natalia,Valero,23080623-3,"Acceso Candelas Robledo 985 Puerta 5 
Cuenca, 04515",Ñuñoa,ES1522676548873632361155,BCI,1350880.54,2024-07-11,44,2024-08-15,Ford Fiesta,Hatchback,Santander,18847982.71,2024-10-15,0.0,,96,36,26,193,21,66,33
Poncio,Molina,16199219-4,"Urbanización Daniel Pizarro 47
Madrid, 49903",Santiago,ES1309119990010648691528,BCI,771529.97,2024-03-21,47,2024-11-14,Chevrolet Spark,Camioneta,Scotiabank,0.0,,771529.97,2024-11-16,10,10,23,56,49,23,91
Gloria,Dominguez,15734672-5,"Vial Marcio Montero 534 Apt. 59 
Málaga, 03229",Vitacura,ES7534665807013623643755,Banco de Chile,1213674.73,2024-04-10,36,2024-08-05,Honda Civic,Camioneta,Santander,0.0,,1213674.73,2024-10-02,23,38,37,71,1,98,29
Cándida,Espinosa,20693328-3,"Glorieta de Eliseo Recio 60
Segovia, 08084",Santiago,ES2122923500200991695418,BCI,1132503.22,2024-04-05,13,2024-09-02,Ford Fiesta,SUV,Banco Estado,0.0,,1132503.22,2024-10-14,39,5,1,145,29,11,38
Luz,Galván,16635561-3,"Via de Marino Ferreras 203
Pontevedra, 12037",Vitacura,ES2825318365253356340338,Banco Estado,1112441.49,2024-05-01,11,2024-09-21,Honda Civic,SUV,Banco Estado,10829254.86,2024-12-13,0.0,,17,13,13,81,18,69,80
Abilio,Cervantes,16477268-3,"Calle Armando Barrios 74 Puerta 8 
Palencia, 39259",Vitacura,ES6882987932865487858674,Banco Estado,509605.89,2024-02-10,48,2024-02-25,Nissan Sentra,Sedán,Santander,0.0,,509605.89,2024-11-19,66,30,12,192,4,21,20
Nélida,Amador,14272289-5,"Alameda de Conrado Martínez 44
Vizcaya, 42859",Vitacura,ES4153042878117495865446,Banco de Chile,1240816.94,2024-05-12,46,2024-06-12,Ford Fiesta,Coupé,Banco Estado,0.0,,1240816.94,2024-07-25,35,45,38,195,32,91,44
Jose Angel,Flores,14238292-K,"Camino María Manuela Alegria 846
Jaén, 01692",Ñuñoa,ES3346936810739931241914,Santander,702452.5,2024-01-26,48,2024-07-12,Chevrolet Spark,SUV,Scotiabank,10259184.45,2024-11-08,0.0,,36,34,32,178,38,49,51
Efraín,Riera,7387212-K,"Plaza Ernesto Villa 732
Melilla, 47048",Providencia,ES5114446416208103260638,Banco Estado,1579286.17,2024-03-08,36,2024-10-19,Chevrolet Spark,Hatchback,BCI,0.0,,1579286.17,2024-11-30,5,29,14,10,15,69,34
Abraham,Uría,12976835-5,"Via de Emilia Bravo 73 Piso 1 
Lugo, 27186",Ñuñoa,ES6894445733191733841290,Banco de Chile,1140282.19,2024-04-05,40,2024-12-27,Chevrolet Spark,Coupé,Santander,12276290.72,2024-12-29,0.0,,76,19,24,67,15,41,26
Severiano,Ariza,17862595-0,"Avenida Samanta Leal 470
Cádiz, 28451",Santiago,ES6547534613721119555371,Santander,1622262.01,2024-04-03,2,2024-05-23,Ford Fiesta,Coupé,Banco de Chile,8644389.45,2024-06-21,0.0,,7,28,16,6,11,48,38
Joaquín,Castejón,16962579-4,"Callejón de Natalio Vives 56 Apt. 38 
Cantabria, 47427",Providencia,ES2347690776257749312064,Banco Estado,1399288.36,2024-04-01,27,2024-09-10,Ford Fiesta,Coupé,Scotiabank,13200130.75,2024-10-20,0.0,,47,42,45,89,21,54,26
Trinidad,Fuente,24879499-2,"Camino de Jacinta Jimenez 1 Apt. 31 
Ourense, 09955",Santiago,ES2048429295525794995448,Banco Estado,907638.82,2024-02-18,50,2024-06-27,Chevrolet Spark,SUV,Santander,0.0,,907638.82,2024-10-19,95,21,35,112,8,51,31
Augusto,Cózar,22569838-4,"C. de Alfredo Coello 2
Granada, 45180",Santiago,ES4413324699486252592477,Banco Estado,1484147.79,2024-02-16,33,2024-10-12,Toyota Corolla,Camioneta,Banco Estado,10601992.86,2024-10-23,0.0,,98,33,26,88,47,51,22
Gregorio,Quiroga,6117589-K,"Pasadizo Jordán Somoza 493
Murcia, 38275",Santiago,ES8425841579026756909524,Banco de Chile,1056254.52,2024-06-15,10,2024-12-24,Honda Civic,Camioneta,Banco Estado,0.0,,1056254.52,2024-12-25,49,50,28,1,10,37,50
Teresita,Luján,15029250-6,"Pasadizo de Ezequiel Navas 41 Piso 2 
Melilla, 24313",Vitacura,ES7233784828079452993431,Scotiabank,997637.5,2024-03-30,33,2024-08-08,Toyota Corolla,Sedán,Banco Estado,0.0,,997637.5,2024-08-28,97,48,13,75,26,27,5
Morena,Matas,7803578-1,"Vial de Matilde Benet 8 Apt. 12 
Toledo, 41003",Las Condes,ES1441911725432243312204,Banco de Chile,830745.7,2024-04-28,36,2024-07-08,Toyota Corolla,Camioneta,Santander,0.0,,830745.7,2024-07-12,4,38,43,190,32,34,60
Espiridión,Canals,18657317-K,"Cañada de Jesusa Niño 579
Álava, 14572",Las Condes,ES5375287642208218035493,Banco de Chile,1157898.31,2024-03-09,12,2024-12-26,Ford Fiesta,Hatchback,Scotiabank,0.0,,1157898.31,2024-12-27,46,48,43,104,13,26,80
Amada,Gomis,2791683-K,"Camino Pío Zamora 35 Apt. 92 
Burgos, 35775",Vitacura,ES8622852340255704667866,Banco de Chile,1630837.52,2024-04-28,4,2024-10-06,Ford Fiesta,Camioneta,Banco Estado,12050518.95,2024-12-03,0.0,,9,20,12,104,34,64,82
Tere,Agullo,9876496-8,"Avenida Araceli Blasco 1 Puerta 6 
Barcelona, 24137",Las Condes,ES0243406664966761887293,Santander,1261816.75,2024-07-03,39,2024-11-02,Chevrolet Spark,Camioneta,Banco de Chile,8393793.94,2024-11-28,0.0,,82,0,41,53,4,52,27
Ligia,Carretero,10640492-5,"Pasadizo Macarena Salinas 67
Granada, 35719",Vitacura,ES1946706788306077590738,BCI,1652998.17,2024-02-09,43,2024-12-06,Toyota Corolla,Hatchback,Banco de Chile,19048431.7,2024-12-23,0.0,,52,45,43,119,22,26,5
Virginia,Hernández,15429159-8,"Avenida de Regina Parra 76 Piso 4 
Baleares, 36972",Santiago,ES4869810595429951274553,Banco Estado,576801.44,2024-03-10,31,2024-07-04,Chevrolet Spark,SUV,Scotiabank,9089227.45,2024-07-18,0.0,,45,24,25,11,44,20,100
Alberto,Trujillo,10504911-0,"Acceso de Catalina Calvet 39 Apt. 60 
Zamora, 36285",Providencia,ES7241042620634508328203,Santander,1219775.84,2024-01-29,30,2024-06-13,Honda Civic,Camioneta,Santander,18568962.36,2024-11-09,0.0,,6,47,37,133,44,94,21
Eustaquio,Sanabria,1245412-0,"Acceso de Francisca Casas 753
Las Palmas, 08617",Santiago,ES4169182228625665372302,Santander,640182.05,2024-04-18,15,2024-11-07,Ford Fiesta,Sedán,Santander,0.0,,640182.05,2024-11-20,87,43,13,116,13,35,8
Jose Antonio,Nebot,17321438-3,"Vial de Evaristo Zamorano 4 Puerta 3 
Castellón, 05953",Vitacura,ES5744074876369911294053,BCI,1063135.94,2024-05-18,40,2024-07-06,Ford Fiesta,Hatchback,BCI,7827930.99,2024-09-16,0.0,,64,8,39,12,41,1,83
Diana,Bayón,2933084-0,"C. de Úrsula Canals 589
Castellón, 14396",Santiago,ES2298462208221103337515,Santander,1102047.73,2024-03-15,31,2024-11-15,Chevrolet Spark,SUV,Santander,0.0,,1102047.73,2024-11-21,94,4,24,43,1,11,10
Manuela,Salcedo,12075254-5,"Pasaje Norberto Torrents 7
Santa Cruz de Tenerife, 38519",Providencia,ES2322027276817774941788,Scotiabank,765104.74,2024-02-26,43,2024-12-23,Nissan Sentra,Coupé,BCI,0.0,,765104.74,2024-12-27,91,12,41,36,25,100,80
Bernardita,Bayona,7532071-K,"Paseo de Omar Olmedo 3 Puerta 9 
Cuenca, 09491",Ñuñoa,ES2082674343742109731124,Banco de Chile,1941879.5,2024-01-09,2,2024-03-15,Nissan Sentra,Hatchback,Banco Estado,8221177.25,2024-06-25,0.0,,97,37,12,40,38,67,50
